015 021.66
015 022.75
015 022.30
018 031.25
028 044.79
029 040.55
037 050.25
037 046.88
044 052.03
050 063.47
050 061.13
060 081.00
061 073.09
064 079.09
065 079.51
065 065.31
072 071.90
075 086.10
075 094.60
082 092.50
085 105.00
091 101.70
091 102.90
097 110.00
098 104.30
125 134.90
142 130.68
142 140.58
147 155.30
147 152.20
150 144.50
159 142.15
165 139.81
183 153.22
192 145.72
195 161.10
218 174.18
218 173.03
219 173.54
224 178.86
225 177.68
227 173.73
232 159.98
232 161.29
237 187.07
246 176.13
258 183.40
276 186.26
285 189.66
300 186.09
301 186.70
305 186.80
312 195.10
317 216.41
338 203.23
347 188.38
354 189.70
357 195.31
375 202.63
394 224.82
513 203.30
535 209.70
554 233.90
591 234.70
648 244.30
660 231.00
705 242.40
723 230.77
756 242.57
768 232.12
860 246.70
